Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
237701,429,-102.483611,36.400834,Dallam,3,11,2002,3/11/02,3825.92,3730,95.92000000000007
237701,429,-102.483611,36.400834,Dallam,2,21,2003,2/21/03,3827.16,3730,97.15999999999985
237701,429,-102.483611,36.400834,Dallam,2,8,2004,2/8/04,3826.51,3730,96.51000000000022
237701,429,-102.483611,36.400834,Dallam,3,10,2005,3/10/05,3826.6,3730,96.59999999999991
237701,429,-102.483611,36.400834,Dallam,2,3,2006,2/3/06,3825.68,3730,95.67999999999984
237701,429,-102.483611,36.400834,Dallam,2,23,2007,2/23/07,3826.27,3730,96.26999999999998
237701,429,-102.483611,36.400834,Dallam,2,14,2008,2/14/08,3797.15,3730,67.15000000000009
237701,429,-102.483611,36.400834,Dallam,3,4,2010,3/4/10,3796.49,3730,66.48999999999978
237701,429,-102.483611,36.400834,Dallam,3,2,2011,3/2/11,3809.91,3730,79.90999999999985
237701,429,-102.483611,36.400834,Dallam,1,20,2012,1/20/12,3804.18,3730,74.17999999999984
237701,429,-102.483611,36.400834,Dallam,1,21,2013,1/21/13,3824.91,3730,94.90999999999985
237701,429,-102.483611,36.400834,Dallam,2,3,2014,2/3/14,3825.91,3730,95.90999999999985
237701,429,-102.483611,36.400834,Dallam,2,12,2015,2/12/15,3802.31,3730,72.30999999999995
237801,431,-102.424722,36.399167,Dallam,3,8,1995,3/8/95,3697.9,3600,97.90000000000009
237801,431,-102.424722,36.399167,Dallam,3,4,1998,3/4/98,3687.32,3600,87.32000000000016
238201,109,-102.298056,36.481667,Dallam,12,6,1995,12/6/95,3651.45,3720,-68.55000000000018
238401,234,-102.336111,36.431667,Dallam,6,24,2004,6/24/04,3707.18,3600,107.17999999999984
238601,164,-102.2875,36.450556,Dallam,12,6,1995,12/6/95,3615,3580,35.0
239101,72,-102.242222,36.497222,Dallam,12,6,1995,12/6/95,3569.1,3520,49.09999999999991
239101,72,-102.242222,36.497222,Dallam,12,10,1996,12/10/96,3577.65,3520,57.65000000000009
239101,72,-102.242222,36.497222,Dallam,12,11,1997,12/11/97,3588.38,3520,68.38000000000011
239101,72,-102.242222,36.497222,Dallam,12,9,1998,12/9/98,3576.83,3520,56.82999999999993
239101,72,-102.242222,36.497222,Dallam,12,9,1999,12/9/99,3584.58,3520,64.57999999999993
239101,72,-102.242222,36.497222,Dallam,5,11,2000,5/11/00,3578.4,3520,58.40000000000009
239101,72,-102.242222,36.497222,Dallam,12,7,2000,12/7/00,3590.3,3520,70.30000000000018
239101,72,-102.242222,36.497222,Dallam,12,13,2001,12/13/01,3591.25,3520,71.25
239101,72,-102.242222,36.497222,Dallam,12,14,2002,12/14/02,3574.5,3520,54.5
239101,72,-102.242222,36.497222,Dallam,12,11,2003,12/11/03,3589,3520,69.0
239101,72,-102.242222,36.497222,Dallam,12,15,2004,12/15/04,3589.25,3520,69.25
239101,72,-102.242222,36.497222,Dallam,3,30,2005,3/30/05,3584.91,3520,64.90999999999985
239101,72,-102.242222,36.497222,Dallam,3,2,2007,3/2/07,3591.27,3520,71.26999999999998
239101,72,-102.242222,36.497222,Dallam,1,5,2008,1/5/08,3586.62,3520,66.61999999999989
239202,114,-102.172222,36.480278,Dallam,12,6,1995,12/6/95,3505.25,3450,55.25
